route_no,passenger_count,population,traffic_volume,headway_minutes,vulnerability_index,traffic_volume_scaled,passenger_count_scaled,headway_minutes_scaled,vulnerability_index_scaled,population_scaled,priority_score,rank,bus_no
CWB379001500,407319.88,216352,407319.88,49.86440677966102,0.09637072918207366,0.2541557998293863,0.2541557998293863,0.673843334860284,0.154454441219495,0.6324507214731742,0.36595266313895547,115,150
CWB379000741,24640.5,14190,24640.5,65.31914893617021,0.22762508809020437,0.011325196544748686,0.011325196544748686,0.8826912018401379,0.8206687629528692,0.9881499284772965,0.36421522743789336,116,74-1
CWB379000030,7134.0,24644,7134.0,69.2,0.21076124005843208,0.00021638279993048336,0.00021638279993048336,0.9351351351351351,0.7350720850843225,0.9697563653446549,0.3576397017498831,117,3
CWB379030000,359158.4,210399,359158.4,52.42682926829268,0.10001473391033228,0.22359475616018987,0.22359475616018987,0.7084706657877389,0.17295049848285218,0.6429248826869312,0.35743852497064005,118,3000
CWB379002400,218422.66,57087,218422.66,58.0,0.12214689859337502,0.13429037647840533,0.13429037647840533,0.7837837837837838,0.2852878349756159,0.912673682284363,0.35712713436979787,119,240
CWB379030010,484123.5,321392,484123.5,44.71875,0.08517635784338129,0.3028918184229255,0.3028918184229255,0.6043074324324325,0.09763461008643175,0.44763535209755945,0.3571235737586409,120,3001
CWB379002710,83177.12,34176,83177.12,54.35,0.22890332397003746,0.04846982333086813,0.04846982333086813,0.7344594594594595,0.8271567688125017,0.9529850391747353,0.35398796668913646,121,271
CWB379007400,513043.84,379614,513043.84,37.292682926829265,0.1153987998335151,0.3212433261770063,0.3212433261770063,0.503955174686882,0.25103617220656016,0.3451951346966927,0.35316016133390543,122,740
CWB379000370,25345.5,24644,25345.5,64.94736842105263,0.21076124005843208,0.011772556878915813,0.011772556878915813,0.8776671408250355,0.7350720850843225,0.9697563653446549,0.35307980733525435,123,37
CWB379003510,32242.0,7455,32242.0,74.0,0.14996646545942321,0.016148756232935105,0.016148756232935105,1.0,0.4264930035106507,1.0,0.35233855409082615,124,351
CWB379000360,212356.6,135807,212356.6,60.90066225165563,0.12547217742826217,0.13044113587035164,0.13044113587035164,0.8229819223196707,0.3021661192626107,0.7741677238185558,0.3504944502942618,125,36
CWB379000010,212968.1,135807,212968.1,60.019230769230774,0.12547217742826217,0.1308291654367959,0.1308291654367959,0.8110706860706861,0.3021661192626107,0.7741677238185558,0.34834502078433144,126,1
CWB379002130,539868.29,312928,539868.29,32.63934426229508,0.0844954749974435,0.3382648792491332,0.3382648792491332,0.44107221976074434,0.09417861893185354,0.46252755779439114,0.3468439891742532,127,213
CWB379002140,490365.3,275148,490365.3,36.27777777777778,0.08881038568334133,0.30685257549215156,0.30685257549215156,0.49024024024024027,0.11608002715828493,0.5290005647918276,0.34666765253835025,128,214
CWB379001520,343888.0,190185,343888.0,46.75609756097561,0.10654362857217972,0.21390486786676333,0.21390486786676333,0.6318391562294001,0.20608953603554636,0.6784909325399269,0.34316879882348533,129,152
CWB379000020,207831.6,135807,207831.6,57.64285714285714,0.12547217742826217,0.12756978053403073,0.12756978053403073,0.7789575289575289,0.3021661192626107,0.7741677238185558,0.33996675842004087,130,2
CWB379007700,463556.0,293860,463556.0,38.827586206896555,0.0817566187980671,0.2898406359080568,0.2898406359080568,0.5246971109040075,0.08027686937952104,0.496077248038624,0.3364792154674501,131,770
CWB379009990,6793.0,22480,6793.0,60.33333333333333,0.21338967971530248,0.0,0.0,0.8153153153153152,0.7484133878630338,0.973563871621586,0.33526078901152506,132,999
