위도,경도,정류장ID,정류장명,정류장번호
35.31643282,128.5966368,CWB379003127,동전회관,104711
35.31651356,128.5966153,CWB379003128,동전회관,104712
35.32889005,128.5894116,CWB379003129,북면양촌,113502
35.33046039,128.60021456,CWB379003130,신동,113503
35.3027572,128.6245216,CWB379003131,승산,101710
35.30286779,128.6246202,CWB379003132,승산,101711
35.30248347,128.6204405,CWB379003133,갈전마을,100709
35.30258261,128.6205108,CWB379003134,갈전마을,100710
35.29822726,128.60979754,CWB379003135,화산마을,100711
35.29812096,128.60982841,CWB379003136,화산마을,100712
35.35357783,128.6116525,CWB379003137,북면종점,119202
35.35341769,128.6115508,CWB379003138,북면종점,119203
35.28660414,128.6140812,CWB379003139,지개리,101712
35.37570752,128.59087436,CWB379003140,내산,112501
35.31770367,128.60378411,CWB379003141,동전,119204
35.36709605,128.6740781,CWB379003142,신전,103719
35.36642842,128.6718087,CWB379003143,신전입구,103720
35.3688284,128.667054,CWB379003144,하옥정,103721
35.37033745,128.66126022,CWB379003145,상옥정,103722
35.35379865,128.6829137,CWB379003146,죽동당산마을,116606
35.353786,128.6826713,CWB379003147,죽동당산마을,116607
35.35535874,128.6862284,CWB379003148,구산마을입구,116608
35.35536333,128.686121,CWB379003149,구산마을입구,116609
35.30440965,128.71959535,CWB379003150,부곡,630304
35.3011471,128.750424,CWB379003151,용전마을,630305
35.30008107,128.75367249,CWB379003152,진영한방병원,630306
35.29649839,128.7608444,CWB379003153,신용삼거리,630307
35.35739268,128.6560472,CWB379003155,전촌입구,104653
35.35727224,128.6561347,CWB379003156,전촌입구,104654
35.35942079,128.6617382,CWB379003157,달천,123010
35.35951899,128.6616531,CWB379003158,달천,123011
35.35933781,128.6689229,CWB379003159,노옥마을,123012
35.35940961,128.668754,CWB379003160,노옥마을,123013
35.36322551,128.6825561,CWB379003161,평리,103723
35.36319659,128.6819648,CWB379003162,평리,103724
35.36671791,128.64653672,CWB379003163,본포,104655
35.09550118,128.5831201,CWB379003164,신촌마을,104656
35.13725962,128.572516,CWB379003165,덕동입구,300639
35.13723556,128.5727044,CWB379003166,덕동입구,300640
35.08668886,128.5756175,CWB379003167,수밭골,321928
35.08656905,128.5760049,CWB379003168,수밭골,321929
35.08294018,128.5985926,CWB379003169,안골,315423
35.08285105,128.5985232,CWB379003170,안골,315424
35.07609092,128.6021612,CWB379003171,궁개,315301
35.07619535,128.6024015,CWB379003172,궁개,315302
35.12307555,128.536777,CWB379003173,마전,321930
35.12313096,128.536877,CWB379003174,마전,321931
35.12433685,128.5354259,CWB379003175,하마전마을,321932
35.1239831,128.535547,CWB379003176,하마전마을,321933
35.12982778,128.5320083,CWB379003177,상마전종점,321934
35.12985555,128.5318642,CWB379003178,상마전종점,321935
35.18788473,128.59675229,CWB379003179,두산에너빌리티입구,216001
35.18711836,128.59660556,CWB379003180,두산에너빌리티입구,216002
35.16362791,128.61319453,CWB379003181,귀산,216003
35.16932578,128.5993113,CWB379003182,용호,207810
35.17215848,128.5952724,CWB379003183,용호입구,207811
35.17057378,128.5967926,CWB379003184,용호,207812
35.17933837,128.59643965,CWB379003185,두산에너빌리티부두,216004
35.26488205,128.5253187,CWB379003186,코오롱아파트,422823
35.27314444,128.52634335,CWB379003187,자이아파트정문,630309
35.27631679,128.52284341,CWB379003188,자이아파트,630310
35.21123625,128.5773583,CWB379003190,육호광장,322301
35.20768427,128.5126003,CWB379003191,감천입구,401014
35.11223697,128.7497744,CWB379003192,웅천고등학교,514014
35.15318065,128.6761699,CWB379003193,태백사거리,519707
35.11444431,128.7815376,CWB379003194,영길운동장,502806
35.11429654,128.7813323,CWB379003195,영길운동장,502807
35.20602409,128.6356169,CWB379003196,반월길,201229
35.20854696,128.6348363,CWB379003198,고려기업,201231
35.16800802,128.5539247,CWB379003211,율곡마을,311601
35.17024601,128.5458649,CWB379003212,예곡마을,311602
35.23419725,128.6412156,CWB379003215,창원기계공구상가,118701
35.14298583,128.507745,CWB379003216,오산마을,306622
35.14640089,128.5105696,CWB379003217,태봉마을,306623
35.29928055,128.6069402,CWB379003218,화산마을입구,100713
35.29914311,128.6070512,CWB379003219,화산마을입구,100714
35.09736772,128.607908,CWB379003220,옥계리,312001
35.09757687,128.6074677,CWB379003221,옥계리,312002
35.33608826,128.7333271,CWB379003230,동곡,123014
35.32626584,128.7389686,CWB379003231,용등,123015
35.3283058,128.7350428,CWB379003232,신곡,123016
35.0960146,128.824238,CWB379003239,부광산업,630296
35.09619819,128.8245804,CWB379003240,부광산업,630297
35.09394438,128.8273472,CWB379003241,부산카프링,630298
35.09338228,128.827504,CWB379003242,부산카프링,630299
35.09063786,128.831487,CWB379003243,(주)태광,630300
35.09031518,128.8312982,CWB379003244,(주)태광,630301
35.08687056,128.83105464,CWB379003245,부산항홍보관,630302
35.08705341,128.8308921,CWB379003246,부산항홍보관,630303
35.09811841,128.821258,CWB379003247,용원사거리,630317
35.09828723,128.8212631,CWB379003248,용원사거리,630318
35.25617247,128.60685857,CWB379003249,창원역,115351
35.31955848,128.5839562,CWB379003250,휴먼빌2단지,104713
35.31947617,128.5838751,CWB379003251,휴먼빌1단지,104714
35.36213678,128.7079881,CWB379003252,신성주유소,103725
35.36235582,128.7075771,CWB379003253,신성주유소,103726
35.32086796,128.6983388,CWB379003254,신등초교,116515
35.32077974,128.6982524,CWB379003255,신등초교,116516
35.25165247,128.5447904,CWB379003256,곰티고개,409716
35.25171471,128.5449417,CWB379003257,곰티고개,409717
35.16460807,128.5999369,CWB379003258,마창대교,207813
35.16464047,128.6000771,CWB379003259,마창대교,207814
35.19236952,128.56804851,CWB379003261,대한민국민주주의전당,322015
35.19273294,128.5679309,CWB379003262,대한민국민주주의전당,322016
35.22663265,128.6793433,CWB379003263,이마트,213308
35.1062103,128.70520806,CWB379003264,수치,523321
35.10660002,128.70537246,CWB379003265,수치,523322
35.10567447,128.4297695,CWB379003268,임곡삼거리,308128
35.10633033,128.4308111,CWB379003269,임곡삼거리,308129
35.19964082,128.7089206,CWB379003271,창원경상대병원동문,208005
35.19972974,128.7087205,CWB379003272,창원경상대병원동문,208006
35.15810875,128.4291685,CWB379003273,영학리,321617
35.15800842,128.4290962,CWB379003274,영학리,321618
35.32910245,128.7185492,CWB379003275,우암리,123017
35.32903593,128.7187369,CWB379003276,우암리,123018
35.18955436,128.6353649,CWB379003277,양곡로,518159
35.36320356,128.6788298,CWB379003278,갈전리,103727
35.36310782,128.6788137,CWB379003279,갈전리,103728
35.3277582,128.6685011,CWB379003280,금산리,104657
35.32767497,128.6685304,CWB379003281,금산리,104658
35.36488985,128.70459473,CWB379003282,아름다운요양원,123019
35.36484442,128.7047808,CWB379003283,아름다운요양원,123020
35.09565434,128.5569553,CWB379003285,욱곡마을회관앞,322151
35.30235358,128.5974387,CWB379003286,힐스테이트1차,103103
35.30221691,128.5938615,CWB379003287,감계휴먼빌,103104
35.11923491,128.4949625,CWB379003288,야촌마을회관,301604
35.11927125,128.4951077,CWB379003289,야촌마을회관,301605
35.35693384,128.6151133,CWB379003290,행복가득한집,119367
35.35684895,128.6151584,CWB379003291,행복가득한집,119368
35.16401575,128.6620894,CWB379003292,무릉도원,511411
35.27968894,128.6884912,CWB379003293,동읍보건지소,115331
35.27952149,128.6885504,CWB379003294,동읍보건지소,115332
35.27894273,128.6860167,CWB379003295,새마을금고,115333
35.27882421,128.6860081,CWB379003296,새마을금고,115334
35.25900202,128.6258575,CWB379003298,중동초등학교,120610
35.25541573,128.6224234,CWB379003299,창원과학고등학교,120611
35.25588676,128.6232407,CWB379003300,창원과학고등학교,120612
35.25518428,128.618673,CWB379003301,고향의봄도서관,120613
35.2552336,128.618199,CWB379003302,고향의봄도서관,120614
35.25900707,128.61293574,CWB379003303,벽산블루밍아파트,120615
35.25849744,128.61347502,CWB379003304,벽산블루밍아파트,120616
35.19003476,128.72356245,CWB379003306,불모산종점,207304
35.10928919,128.4924432,CWB379003307,요장리,322152
35.10914163,128.492531,CWB379003308,요장리,322153
35.10424531,128.7009303,CWB379003312,몽카페,522404
35.10413171,128.700927,CWB379003313,몽카페,522405
35.2431629,128.58243924,CWB379003320,합성초등학교,402514
35.24333243,128.58274189,CWB379003321,합성초등학교,402515
35.23989201,128.5802099,CWB379003322,합성동무학아파트,402512
35.30034053,128.58631,CWB379003324,푸르지오아파트,103109
35.30050134,128.5865042,CWB379003325,감계중학교,103108
35.29612547,128.58899356,CWB379003326,신진정밀,103111
35.29619263,128.58885472,CWB379003327,신진정밀,103110
35.29645933,128.59324327,CWB379003328,중방마을회관,103113
35.29657037,128.5932506,CWB379003329,중방마을회관,103112
35.30234189,128.592914,CWB379003330,감계휴먼빌,103105
35.30233952,128.5905689,CWB379003331,덕산아내,103107
35.30220878,128.5884201,CWB379003332,힐스테이트3차.천수림아파트,103106
35.30222893,128.5965079,CWB379003333,감계아내2차아파트,103114
35.32987046,128.5943215,CWB379003334,무곡리,119369
35.32981138,128.5943566,CWB379003335,무곡리,119370
35.15101536,128.55393316,CWB379003337,현동중흥1차아파트,322610
35.15197281,128.5535186,CWB379003338,현동LH아파트,322611
35.13629344,128.56356576,CWB379003339,덕동공영차고지,322612
35.13603655,128.5636553,CWB379003340,덕동공영차고지,322613
35.18137175,128.56424492,CWB379003341,해운동삼거리,322017
35.18122397,128.56417348,CWB379003342,해운동삼거리,322018
35.26098783,128.5224127,CWB379003343,호계농협,422824
35.31635846,128.58043,CWB379003344,STX칸2차아파트,104715
35.31617493,128.5805745,CWB379003345,STX칸2차아파트,104716
35.32264364,128.583139,CWB379003349,STX칸1차아파트후문,104719
35.32308446,128.58340703,CWB379003350,STX칸1차아파트후문,104720
35.35620503,128.6131493,CWB379003351,거풍힐링빌,119371
35.35613607,128.6132265,CWB379003352,거풍힐링빌,119372
35.11512941,128.467264,CWB379003353,진북면행정복지센터,308130
35.11501978,128.4672662,CWB379003354,진북면행정복지센터,308131
35.31841754,128.60397964,CWB379003355,동전(14),119205
35.24202512,128.70084088,CWB379003357,창원중앙역A,108913
35.26917085,128.6386966,CWB379003358,용강마을입구,115335
35.26909486,128.63902015,CWB379003359,용강마을입구,115336
