statsYm,admmCd,ctpvNm,sggNm,dongNm,tong,ban,totNmprCnt,maleNmprCnt,femlNmprCnt,male0AgeNmprCnt,male10AgeNmprCnt,male20AgeNmprCnt,male30AgeNmprCnt,male40AgeNmprCnt,male50AgeNmprCnt,male60AgeNmprCnt,male70AgeNmprCnt,male80AgeNmprCnt,male90AgeNmprCnt,male100AgeNmprCnt,feml0AgeNmprCnt,feml10AgeNmprCnt,feml20AgeNmprCnt,feml30AgeNmprCnt,feml40AgeNmprCnt,feml50AgeNmprCnt,feml60AgeNmprCnt,feml70AgeNmprCnt,feml80AgeNmprCnt,feml90AgeNmprCnt,feml100AgeNmprCnt
202604,4812131000,경상남도,창원시 의창구,북면,8,16,1005,487,518,51,27,39,109,108,61,52,36,3,1,0,64,38,34,102,93,72,71,36,7,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,17,1130,573,557,80,54,42,122,106,68,79,21,1,0,0,83,44,31,127,91,81,73,22,4,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,18,1127,549,578,88,65,29,88,132,65,59,19,4,0,0,85,71,29,100,120,78,67,21,6,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,19,1389,699,690,119,45,40,231,154,52,51,5,2,0,0,118,63,31,238,119,68,46,4,2,1,0
202604,4812131000,경상남도,창원시 의창구,북면,8,20,1090,556,534,106,43,34,188,109,51,21,4,0,0,0,97,44,31,184,87,59,24,7,1,0,0
202604,4812131000,경상남도,창원시 의창구,북면,9,1,767,384,383,22,33,36,42,62,66,79,35,9,0,0,19,36,27,40,53,72,73,40,17,6,0
202604,4812131000,경상남도,창원시 의창구,북면,9,2,143,77,66,0,1,7,3,7,15,24,16,4,0,0,0,0,3,0,0,10,21,15,15,2,0
202604,4812131000,경상남도,창원시 의창구,북면,10,1,86,41,45,4,3,2,2,6,1,16,5,2,0,0,1,4,4,3,2,6,13,5,7,0,0
202604,4812131000,경상남도,창원시 의창구,북면,10,2,1521,760,761,84,166,40,74,194,103,69,28,2,0,0,64,150,40,82,209,92,86,32,5,1,0
202604,4812131000,경상남도,창원시 의창구,북면,10,3,827,410,417,42,72,27,41,98,72,35,19,4,0,0,33,70,17,41,113,65,49,23,5,1,0
